watershed_group_code,ch_n,ch90_n,ch_latest,co_n,co90_n,co_latest,sk_n,sk90_n,sk_latest,st_n,st90_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind
NIEL,24,18,1996-05-01,153,112,2014-07-10,41,20,2001-09-16,58,33,1999-04-01,{Core},{Core},{Core},{Core},t,,
NIMP,24,13,2017-08-02,507,445,2017-08-11,50,31,2012-05-22,677,536,2019-05-07,{Core},{Core},{Core},{Core},t,,
OKAN,2,1,1998-04-01,0,0,,17,16,2015-10-24,2,0,1986-01-01,{Peripheral},,{Core},,t,,
OSPK,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
OWIK,95,60,2007-08-24,215,147,2018-05-24,163,112,2018-05-24,105,56,2000-01-01,{Core},{Core},{Core},{Core},t,,
PARA,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
PARK,22,9,2015-10-29,294,246,9999-03-01,3,1,1993-01-01,312,153,9999-03-01,{Core},{Core},{Core},{Core},t,,
PARS,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
PCEA,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
PINE,0,0,,0,0,,0,0,,0,0,,,,,,,t,
PITR,0,0,,0,0,,0,0,,0,0,,,,,,,,
PORI,1,1,2000-12-01,81,49,2008-08-05,0,0,,25,7,2000-01-01,{Core},{Core},{Core},{Core},t,,
QUES,98,94,2016-08-26,43,34,2016-09-06,34,25,2001-01-01,24,4,1998-01-01,{Core},{Core},{Core},{Core},t,,
REVL,2,2,1999-01-01,2,2,1999-01-01,0,0,,0,0,,,,,,,,Chief Joseph Dam
SAHD,0,0,,0,0,,0,0,,0,0,,,,,,,t,
SAHT,0,0,,0,0,,0,0,,0,0,,,,,,,t,
SAJR,0,0,,1,1,1997-01-01,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
SALM,11,8,9999-03-01,171,151,9999-03-01,6,2,2002-03-01,126,64,9999-03-01,{Core},{Core},{Core},{Core},t,,
SALR,8,5,1998-07-07,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},t,,
SANJ,61,39,2016-09-28,338,229,2018-08-01,18,6,2014-09-04,486,213,2014-09-25,{Core},{Core},{Core},{Core},t,,
SETN,191,173,2016-04-13,263,242,2016-04-13,114,102,2016-04-14,269,187,2015-11-16,{Core},{Core},{Core},{Core},t,,
SEYM,15,6,1995-01-01,120,80,2016-03-01,2,2,1995-01-01,23,12,1999-01-01,{Core},{Core},{Core},{Core},t,,
SHEK,0,0,,0,0,,0,0,,0,0,,,,,,,t,
SHER,59,9,1998-03-01,50,2,1994-01-01,44,14,1998-03-01,29,10,1996-01-01,{Core},{Core},{Core},{Core},t,,
SHUL,111,86,2016-08-11,145,86,2014-08-20,177,131,2012-06-20,16,3,1997-01-01,{Core},{Core},{Core},{Core},t,,
SIML,0,0,,0,0,,0,0,,1,0,1967-12-31,,,,,,,
SKGT,0,0,,0,0,,0,0,,1,0,1939-01-01,{Core},{Core},{Core},{Core},,,Ross Dam
SLOC,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
SMAR,0,0,,0,0,,0,0,,1,0,1952-06-23,,,,,,,Chief Joseph Dam
SMOK,0,0,,0,0,,0,0,,0,0,,,,,,,t,
SPAT,0,0,,0,0,,0,0,,0,0,,,,,,,,
SQAM,184,137,2018-11-06,1788,1659,2019-08-12,34,15,2015-04-01,1163,805,2080-03-01,{Core},{Core},{Core},{Core},t,,
STHM,28,22,2016-07-27,19,15,2016-11-23,11,6,2000-01-01,4,1,1998-01-01,{Core},{Core},{Core},{Core},t,,
STIR,44,6,9999-10-01,29,6,2007-06-13,31,7,2018-09-15,11,1,1991-01-01,{Core},{Core},{Core},{Core},t,,
STUL,7,5,1995-01-01,2,1,1997-09-05,17,11,2001-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
STUR,59,26,2000-01-01,1,1,2004-01-01,21,17,2000-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
SUST,49,34,2009-08-20,72,28,2007-08-29,55,9,2001-01-01,55,22,1999-09-01,{Core},{Core},{Core},{Core},t,,Falls 16378
SWIR,3,2,2011-08-24,0,0,,0,0,,0,0,,{Core},,,,,,
TABR,55,51,2017-10-01,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},t,,
TAHR,13,1,2003-01-01,3,0,1982-01-01,70,65,2014-12-09,36,11,2000-01-01,{Core},{Core},{Core},{Core},t,,
TAHS,64,27,2011-10-06,181,106,2018-08-14,50,35,2011-09-30,87,32,2011-10-02,{Core},{Core},{Core},{Core},t,,
TAKL,1,1,1994-01-01,0,0,,82,24,1999-08-19,0,0,,{Core},{Core},{Core},{Core},t,,
TASR,5,2,1996-04-01,1,0,1982-01-01,5,4,2001-01-01,5,2,1996-05-01,{Core},{Core},{Core},{Core},t,,
TATR,17,5,9999-10-01,10,4,2017-08-29,18,6,1994-01-01,1,1,1994-01-01,{Core},{Core},{Core},{Core},t,,
TAYR,0,0,,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
TESR,21,14,2017-06-07,0,0,,0,0,,0,0,,{Core},,,,t,,
THOM,47,29,2011-10-26,23,20,2016-07-25,10,6,2000-01-01,69,33,2000-01-01,{Core},{Core},{Core},{Core},t,,
TOAD,0,0,,0,0,,0,0,,0,0,,,,,,,t,
TOBA,260,198,2016-05-26,464,352,2018-11-13,100,88,2016-05-14,167,51,2016-05-07,{Core},{Core},{Core},{Core},t,,
TOOD,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
TSAY,35,23,2016-03-09,150,127,2017-07-23,6,4,2015-06-20,19,14,2003-10-16,{Core},{Core},{Core},{Core},t,,
TSEA,0,0,,0,0,,0,0,,0,0,,,,,,,t,
TSIT,13,9,2016-09-24,272,251,2017-12-07,6,3,1994-01-01,128,58,2007-09-27,{Core},{Core},{Core},{Core},t,,
TURN,0,0,,0,0,,0,0,,2,0,1981-01-01,,,,,,t,
TUTR,0,0,,0,0,,0,0,,2,1,1991-01-01,{Core},,,,,,
TUYR,2,0,1978-01-01,2,0,1986-01-01,3,0,1986-01-01,0,0,,{Core},{Core},{Core},{Core},,,
TWAC,13,13,2016-10-21,3,3,2013-10-21,1,1,1997-01-01,1,0,1987-10-02,{Core},{Core},{Core},{Core},t,,
UARL,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
UBIR,39,18,2017-10-11,54,33,2018-09-19,5,0,1972-08-17,4,1,1994-01-01,{Core},{Core},{Core},{Core},t,,
UBTN,0,0,,0,0,,0,0,,0,0,,,,,,,t,
UCHR,32,12,2000-09-18,0,0,,0,0,,10,8,1996-05-01,{Core},{Core},{Core},{Core},t,,
UDEN,0,0,,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,Falls 24918
UEUT,0,0,,0,0,,0,0,,3,0,1982-04-01,{Core},{Core},{Core},{Core},,,
UFRA,60,25,2017-07-12,0,0,,2,2,1994-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
UFRT,0,0,,0,0,,0,0,,0,0,,,,,,,t,
UHAF,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
UISR,0,0,,0,0,,0,0,,1,0,1972-01-01,{Core},{Core},{Core},{Core},,,Forrest Kerr Generating Station
UJER,3,3,1996-09-10,0,0,,0,0,,0,0,,{Core},,,,,,
UKEC,0,0,,0,0,,0,0,,0,0,,,,,,,t,
ULRD,1,0,1983-01-01,0,0,,0,0,,0,0,,,,,,,t,
