watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,length_km_accessible30,length_km_accessible30_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,stream_km_accessible30,stream_km_accessible30_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,lake_reservoir_area_ha_accessible30,lake_reservoir_area_ha_accessible30_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,wetland_area_ha_accessible30,wetland_area_ha_accessible30_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_pscis_gt2010_accessible_30,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20,n_modelled_culverts_accessible30
BRKS,5433.0,1192.5,601.7,1510.9,716.6,2161.4,941.9,992.7,520.5,1302.1,629.7,1933.5,845.9,4081.0,3522.6,1729.2,3561.5,1765.5,3723.2,1853.0,456.9,286.8,90.3,316.8,104.3,361.1,116.9,36,36,25,30,35,5648,797,1213,2125
BULK,14642.1,5692.1,2307.3,7251.2,2733.2,9608.3,3456.1,4924.6,2019.8,6372.5,2425.9,8611.9,3123.9,6647.1,5375.0,1829.0,5640.0,1843.3,5929.9,1895.9,13044.1,8493.7,3736.6,9585.7,3959.9,10605.1,4136.4,1519,1458,862,1058,1361,5551,2855,3620,4664
BULL,6919.9,1747.2,0,2173.6,0,3064.3,0,1436.6,155.8,1858.3,155.8,2737.0,155.8,7785.3,7421.3,0,7431.4,0,7448.6,0,1440.1,991.5,0,1009.5,0,1064.2,0,258,258,157,187,221,4728,1237,1822,2857
CAMB,3681.9,194.1,81.0,310.7,85.6,371.5,89.3,196.1,102.3,275.1,106.8,329.3,109.3,13401.3,232.9,149.7,1033.5,149.7,1071.2,149.8,834.9,228.6,91.4,325.1,91.4,335.6,91.4,0,0,0,0,0,1265,142,268,358
CARR,6206.5,548.8,427.6,1505.1,1044.5,2285.9,1466.2,524.0,413.9,1153.9,738.4,1915.5,1151.7,8797.0,1653.9,1597.4,8157.6,7605.3,8236.5,7632.5,1894.7,583.5,525.0,1293.4,1144.3,1351.7,1171.3,0,0,0,0,0,1300,127,332,627
CHES,3380.3,2518.8,846.9,2887.9,915.0,3183.1,987.3,1747.7,542.6,2080.0,603.3,2356.4,671.8,11904.2,11477.7,6794.2,11628.5,6852.5,11697.2,6866.0,5881.2,4722.9,1462.3,5070.7,1535.6,5186.3,1549.8,13,7,11,13,13,1170,867,1038,1122
CHIL,2862.4,2215.1,265.7,2460.6,283.8,2682.0,286.4,1503.2,166.4,1705.8,181.0,1889.0,183.3,5784.7,5263.2,42.6,5279.5,42.8,5485.1,42.8,9129.9,7048.9,1054.2,7503.5,1119.8,7799.4,1122.0,21,0,17,19,21,1358,1053,1191,1287
CHIR,6762.6,1943.7,1429.1,2492.4,1654.2,3217.3,2158.1,805.9,428.1,1288.3,636.1,1981.8,1114.7,24084.4,21499.6,19000.3,21783.0,19008.0,21926.8,19115.9,3701.8,1621.2,654.9,1969.1,716.4,2104.8,844.3,0,0,0,0,0,616,258,396,459
CHWK,2598.0,605.1,271.0,640.6,283.7,797.6,326.7,515.9,219.9,550.8,232.2,706.9,274.7,2142.8,1953.4,1223.6,1956.6,1223.6,1956.9,1223.6,141.6,95.2,41.9,95.2,41.9,99.5,41.9,16,12,13,13,14,1436,374,444,619
CLAY,7223.2,1300.1,991.7,1580.9,1193.8,2249.4,1614.7,1065.6,788.8,1321.5,968.7,1962.8,1371.4,10890.3,8247.5,7602.9,8432.3,7763.9,8699.5,7894.7,1207.0,664.3,535.7,717.2,584.1,730.9,595.6,57,57,28,36,50,2557,438,593,1032
