watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,length_km_accessible30,length_km_accessible30_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,stream_km_accessible30,stream_km_accessible30_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,lake_reservoir_area_ha_accessible30,lake_reservoir_area_ha_accessible30_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,wetland_area_ha_accessible30,wetland_area_ha_accessible30_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_pscis_gt2010_accessible_30,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20,n_modelled_culverts_accessible30
LISR,6293.8,679.5,679.5,768.1,768.1,1012.1,1012.1,668.0,668.0,741.7,741.7,955.4,955.4,863.8,140.0,140.0,224.6,224.6,249.0,249.0,1483.6,1351.3,1351.3,1390.6,1390.6,1414.7,1414.7,,,,,,2,1,1,1
LKEL,1115.4,329.6,229.3,380.9,260.3,458.6,295.3,248.6,167.6,298.9,198.0,374.9,232.6,1575.4,1428.1,1384.8,1434.0,1384.8,1435.5,1385.0,1537.2,1349.4,1279.8,1352.9,1283.3,1369.6,1289.6,2,0,2,2,2,338,140,165,219
LNAR,12565.4,1902.9,1597.9,2330.4,1844.9,3347.7,2445.5,1783.0,1526.6,2149.7,1735.9,3090.1,2292.5,3640.2,1300.0,1067.7,1540.4,1152.2,1811.6,1212.8,6957.1,4153.9,3493.5,4364.5,3648.4,4658.5,3780.7,,,,,,1424,334,454,681
LNIC,7300.0,1633.7,627.9,2580.9,688.4,3893.3,835.8,1420.8,550.4,2279.8,607.3,3538.1,748.4,5538.9,3180.3,2536.5,3718.9,2548.8,3931.8,2593.7,2341.2,1155.8,203.2,1480.0,208.6,1680.8,231.5,98,98,75,90,96,6047,1346,2356,3622
LNRS,4574.2,113.8,19.4,115.9,19.7,136.8,22.6,85.7,15.2,87.8,15.5,107.4,18.3,23989.7,274.6,18.9,274.6,18.9,274.6,18.9,9547.0,128.6,9.9,128.6,9.9,144.3,10.7,25,7,0,0,0,1596,41,42,56
LNTH,9262.8,1328.0,672.2,2177.2,689.7,4049.1,762.0,1159.0,589.3,1885.4,605.4,3534.5,675.1,9086.5,2649.5,2132.8,4477.8,2134.7,6096.2,2137.6,4527.2,816.4,297.8,1197.1,303.6,2134.5,322.3,78,54,29,35,44,8413,1000,1891,3904
LRDO,5529.7,872.7,858.7,1227.7,1208.7,2393.2,2334.0,474.4,464.0,726.1,710.9,1567.5,1515.8,14908.0,6289.4,6247.0,7360.1,7317.2,12334.8,12243.9,681.8,341.6,337.5,406.5,402.5,521.5,515.5,,,,,,201,25,31,97
LSAL,3174.8,2971.3,197.4,3038.1,210.5,3079.1,228.3,2155.6,265.4,2218.7,277.4,2257.0,294.4,6273.8,5583.8,26.6,5588.6,26.6,5602.8,27.4,8619.1,7712.8,127.1,7734.5,136.5,7753.9,147.4,34,2,26,28,32,2227,2077,2150,2178
LSKE,12272.7,2004.6,1766.0,2372.6,2069.8,3072.4,2577.5,1761.3,1561.2,2055.5,1799.2,2711.5,2268.3,6445.0,2565.5,2499.3,3038.9,2916.6,3433.8,3276.1,4617.4,3548.7,3238.8,3681.2,3366.8,3782.3,3459.5,92,0,67,76,85,1293,314,393,579
LSTR,7553.5,1100.8,1100.8,1191.6,1190.4,1437.9,1425.9,950.6,950.6,1032.0,1030.8,1258.5,1246.7,3149.7,2135.7,2135.7,2138.0,2138.0,2311.9,2311.9,4103.5,3494.3,3494.3,3522.1,3522.1,3568.0,3567.3,,,,,,39,0,1,7
