watershed_group_code,ch_n,ch_latest,co_n,co_latest,sk_n,sk_latest,st_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind,manual_review_ind,remarks_br,consider_wsg
TUTR,0,,0,,0,,1,1991-01-01,{Core},,,,,,,t,This is a remote and under-studied watershed. Steelhead records are old and could not be verified. Keep it in for now.,t
TUYR,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,f,Records appear to be for enhancement ops/smolt outmigration planting. Blockage near mouth of Tuya River blocks upstream fish passage,f
TWAC,13,2016-10-21,3,2013-10-21,1,1997-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
UARL,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
UBIR,18,2017-10-11,33,2018-09-19,0,,1,1994-01-01,{Core},{Core},{Core},{Core},t,,,,,t
UBTN,0,,0,,0,,0,,,,,,,t,,,,f
UCHR,12,2000-09-18,0,,0,,8,1996-05-01,{Core},{Core},{Core},{Core},t,,,,,t
UDEN,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Falls 24918,,,f
UEUT,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Kenny Dam,,,f
UFRA,25,2017-07-12,0,,2,1994-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
UFRT,0,,0,,0,,0,,,,,,,t,,,,f
UHAF,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
UISR,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Forrest Kerr Generating Station,,,f
UJER,3,1996-09-10,0,,0,,0,,{Core},,,,,,,,,f
UKEC,0,,0,,0,,0,,,,,,,t,,,,f
ULRD,0,,0,,0,,0,,,,,,,t,,,,f
UMUS,0,,0,,0,,0,,,,,,,t,,,,f
UNAR,6,1994-01-01,1,1994-01-01,0,,13,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
UNRS,0,,1,2003-10-15,0,,0,,{Core},{Core},{Core},{Core},,,Kenny Dam,,,f
UNTH,47,2015-10-15,157,2017-11-10,2,1997-09-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
UNUR,2,1995-09-01,13,2018-09-13,2,1995-09-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
UOMI,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
UPCE,0,,0,,0,,0,,,,,,,t,,,,f
UPET,0,,0,,0,,0,,,,,,,t,,,,f
UPRO,0,,0,,0,,0,,,,,,,t,,,,f
USHU,65,2001-10-19,103,2018-08-28,25,2001-03-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
USIK,0,,0,,0,,0,,,,,,,t,,,,f
USKE,1,1996-01-01,0,,0,,3,1997-01-01,{Core},{Core},{Core},{Core},,,Falls 16378,,,f
USTK,0,,0,,1,1998-04-01,11,2000-01-01,,,,,t,,,,,t
UTRE,0,,0,,7,2000-12-01,0,,{Core},{Core},{Core},{Core},,,,,,f
VICT,0,,92,2019-08-15,0,,25,2002-10-09,{Core},{Core},{Core},{Core},t,,,,,t
WILL,15,2010-10-26,1,1995-03-01,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
WORC,18,2018-08-14,122,2018-08-15,4,2002-03-01,13,2016-10-20,{Core},{Core},{Core},{Core},t,,,,,t
ZYMO,14,2018-06-07,68,2018-06-07,3,1998-06-01,23,2001-03-01,{Core},{Core},{Core},{Core},t,,,,,t
